NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
ณัฐพล 	Natthapon 	นาคปฐมกุล	Nakpathomkun	คณะวิทยาศาสตร์และเทคโนโลยี	9	169
ชนาทิพย์ 	Chanathip 	นามเปรมปรีดิ์	Namprempre	คณะวิศวกรรมศาสตร์	21	991
นันทิกา 	Nunthika 	พฤทธิกานนท์	Puthikanon	คณะศิลปศาสตร์	0	0
น้ำเพชร 	Nampetch 	จินเลิศ	Jinlert	คณะศิลปศาสตร์	0	0
ศิริวรรณ 	Siriwan 	วรชัยยุทธ	Worrachaiyut	คณะศิลปศาสตร์	0	0
นิพนธ์ 	Nipon 	ศศิภานุเดช	Sasipanudej	คณะศิลปศาสตร์	0	0
ปิยะพร 	Piyaporn 	กองเงิน	Kongngurn	คณะพยาบาลศาสตร์	0	0
ประจักษ์ 	Prajak 	ก้องกีรติ	Kongkirati	คณะรัฐศาสตร์	3	5
วิโรจน์ 	Virot 	อาลี	Ali	คณะรัฐศาสตร์	0	0
นภาพร 	Napaporn 	อติวานิชยพงศ์	Ativanichayapong	วิทยาลัยพัฒนศาสตร์ ป๋วย อึ๊งภากรณ์	0	0
วรรณลักษณ์ 	Wannalak 	เมียนเกิด	Miankerd	คณะสังคมสงเคราะห์ศาสตร์	0	0
อนงค์นาฎ 	Anongnad 	งามจริยาวัตร	Ngamjariyawat	คณะแพทยศาสตร์	11	65
ภานุมาศ 	Panumas 	ทองอยู่	Thongyoo	คณะวิทยาศาสตร์และเทคโนโลยี	0	0
น้ำฝน 	Namfon 	มหาทรัพย์	Mahasup	คณะสหเวชศาสตร์	3	7
ธีรวุฒิ 	Teerawut 	ศรีพินิจ	Sripinit	คณะเศรษฐศาสตร์	0	0
นภดล 	Nopadol 	ร่มโพธิ์	Rompho	คณะพาณิชยศาสตร์และการบัญชี	7	14
ธร 	Thorn 	ปีติดล	Pitidol	คณะเศรษฐศาสตร์	1	3
กษิดิศ 	Kasidit 	ชาญเชี่ยว	Chanchio	คณะวิทยาศาสตร์และเทคโนโลยี	19	206
สายสุรีย์ 	Saisuree 	ประทีปทองคำ	Prateapthongkum	คณะวิทยาศาสตร์และเทคโนโลยี	0	0
บุญเลิศ 	Boonlert 	วิเศษปรีชา	Visetpricha	คณะสังคมวิทยาและมานุษยวิทยา	0	0
ประเสริฐ 	Prasert 	แรงกล้า	Rangkla	คณะสังคมวิทยาและมานุษยวิทยา	2	1
ภารดี 	Paradee 	ช่วยบำรุง	Chuaybamroong	คณะวิทยาศาสตร์และเทคโนโลยี	7	46
บังอร 	Bangorn 	ปีประทุม	Peepratoom	คณะพยาบาลศาสตร์	0	0
สิรจิตต์ 	Sirajit 	เดชอมรชัย	Dejamonchai	คณะศิลปศาสตร์	0	0
เกียรติศักดิ์ 	Kiatisak 	จังเจริญจิตต์กุล	Jangcharoenjittkul	คณะศิลปศาสตร์	0	0
ชลธิชา 	Chonticha 	พันธุ์พานิช	Panpanich	คณะสังคมสงเคราะห์ศาสตร์	0	0
ชนาธิป 	Chanatip 	สามารถ	Samart	คณะวิทยาศาสตร์และเทคโนโลยี	34	219
ศยามล 	Syamol 	รมพิพัฒน์	Rompipat	คณะพยาบาลศาสตร์	0	0
อรอุมา 	Ornuma 	เตพละกุล	Teparakul	คณะสังคมวิทยาและมานุษยวิทยา	0	0
นิลุบล 	Nilubol 	เลิศนุวัฒน์	Lertnuwat	คณะนิติศาสตร์	0	0
ณภัทร 	Naphat 	สรอัฑฒ์	Sora-at	คณะนิติศาสตร์	0	0
