author,abstract,title,cited,year,location,linkpdf
Somnuk Tangtermsirikul,"Abstract A method for estimating mix proportion of hardened OPC concrete is proposed in this study. A set of mass balance equations was formed to calculate content of concrete compositions including cement, water, sand, and coarse aggregate. The degree of hydration ",Maintenance-free service life design of concrete subjecting to carbonation,2,2005,../papers2/CET/Somnuk Tangtermsirikul/05feb4_somnuk.pdf,http://www.eng.hokudai.ac.jp/COE-area/workshop/pdf/05feb4_somnuk.pdf
Somnuk Tangtermsirikul,Abstract The preliminary inspection of more than 70 bridges in Bangkok Metropolitan Area has been performed. All of the bridges have comparatively short span and are located on the west side of Chao Phraya River. Deterioration to some extent could be observed in some ,Degree of hydration and mass balance equations for determination of mix proportion of hardened OPC concrete,1,2016,../papers2/CET/Somnuk Tangtermsirikul/458,http://www.engj.org/index.php/ej/article/download/910/458
Somnuk Tangtermsirikul,Abstract A new method mainly focusing on automatically searching the locations of rebars in RC structures by using ground penetrating radar measurement data based on the modified existing hyperbolic signatures model is proposed. A comparison of the proposed method ,A new method to determine locations of rebars and estimate cover thickness of RC structures using GPR data,1,2017,,
Somnuk Tangtermsirikul,"Abstract Re-deterioration of corroded RC structures after patching repair is one of the most important problems in marine environment. The different in chloride content, electrical resistivity of material, and environmental condition cause rapid corrosion of reinforcing ",A study of Different Sacrificial Anode Materials to Protect Corrosion of Reinforcing Steel in Concrete,2,2014,../papers2/CET/Somnuk Tangtermsirikul/33997,https://www.tci-thaijo.org/index.php/SciTechAsia/article/download/41122/33997
Somnuk Tangtermsirikul,"ABSTRACT The short-term in vitro cultivation of intraerythrocytic stages of Thai isolates of the Theileria parasite was successfully established in this study. Of the four types of culture media used in the experiment, M199 supplemented with 40% fetal bovine serum (FBS) ",A short-term in vitro cultivation of Thai isolate Theileria sp.,1,2001,../papers2/CET/Somnuk Tangtermsirikul/v27_149_156.pdf,http://scienceasia.org/2001.27.n3/v27_149_156.pdf
Pruettha Nanakorn,"Abstract In genetic algorithms, constraints are mostly handled by using the concept of penalty functions, which penalize infeasible solutions by reducing their fitness values in proportion to the degrees of constraint violation. In most penalty schemes, some coefficients ",,181,2001,,
Pruettha Nanakorn,"Abstract Slope stability analysis of any natural or artificial slope aims at determining the factor of safety of the slip surface that possesses the lowest factor of safety. In this study, an ant colony optimization (ACO) algorithm is developed to solve this factor-of-safety ",An adaptive penalty function in genetic algorithms for structural design optimization,63,2009,,
Pruettha Nanakorn,The recently established Japanese design provision on the estimation of the load-carrying capacity of steel-fiber-reinforced concrete (SFRC) tunnel linings is based on the concept of fracture mechanics of concrete. Existence of a crack and stress transmission by fibers are ,Determination of the critical failure surface for slope stability analysis using ant colony optimization,48,1996,../papers2/CET/Pruettha Nanakorn/_pdf,https://www.jstage.jst.go.jp/article/jscej1984/1996/532/1996_532_221/_pdf
Pruettha Nanakorn,OBJECTIVE: To study the stress distributions in normal and osteoarthritic knee joints using the finite element method (FEM). MATERIAL AND METHOD: Three normal and three varus knee joints are included in the study. Computed tomography (CT) images of the lower ,Back analysis of tension-softening relationship of concrete,35,2009,,
Pruettha Nanakorn,"Abstract The beam-slab layout design task is an ill-defined problem. As a result, it is difficult to delegate this task to computers. This study proposes a new genetic algorithm to be used to perform this design task. First, a new coding scheme for beam-slab layouts is developed. ",A 2D field-consistent beam element for large displacement analysis using the total Lagrangian formulation,32,2009,,
