NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
ทิพมาศ 	Tipamas 	ชุมวรฐายี	Chumworatayee	สถาบันภาษา	0	0
สุเมธ 	Sumet 	ศิริคุณโชติ	Sirikunchoat	คณะนิติศาสตร์	4	0
ราตรี 	Ratree 	ลีละวงค์เทวัญ	Leelawongtawon	สถานวิทยาศาสตร์พรีคลินิก คณะแพทยศาสตร์	5	3
ชัยยุทธ 	Chaiyuth 	ปัญญสวัสดิ์สุทธิ์	Punyasavatsut	คณะเศรษฐศาสตร์	1	0
วิวัฒน์ 	Viwat 	พุทธวรรณไชย	Puttawanchai	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	11	3
พงษ์กฤษณ์ 	Pongkrit 	มงคลสินธุ์	Mongkolsinh	คณะสังคมสงเคราะห์ศาสตร์	0	0
ปรีชา 	Preecha 	วาณิชยเศรษฐกุล	Wanichsetakul	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	5	1
กิติพัฒน์ 	Kitipat 	นนทปัทมะดุลย์	Nontapattamadul	คณะสังคมสงเคราะห์ศาสตร์	12	1
หงษ์ฟ้า 	Hongpha 	ทรัพย์บุญเรือง	Subboonrueng	คณะเศรษฐศาสตร์	4	0
พรชัย 	Pornchai 	ตระกูลวรานนท์	Trarkulwaranont	คณะสังคมวิทยาและมานุษยวิทยา	2	0
ศิริพรรณ 	Siripun 	ทวีสุข	Taweesuk	ภาควิชาวิทยาศาสตร์สิ่งแวดล้อม คณะวิทยาศาสตร์และเทคโนโลยี	4	0
ชุมพจต์ 	Chumpot 	อมาตยกุล	Amatayakul	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	9	15
สมศักดิ์ 	Somsak 	ฟองสุภา	Fongsupa	คณะสหเวชศาสตร์	2	0
วนลดา 	Wanalada 	ทองใบ	Thongbai	คณะพยาบาลศาสตร์	8	3
บัณฑิต 	Bundit 	อนุรักษ์	Anurugsa	ภาควิชาวิทยาศาสตร์สิ่งแวดล้อม คณะวิทยาศาสตร์และเทคโนโลยี	2	0
สุกฤษ 	Sukrit 	ตันตราวงศ์	Tantrawong	ภาควิชาเคมี คณะวิทยาศาสตร์และเทคโนโลยี	0	0
เกษร 	Kaysorn 	สำเภาทอง	Sumpowthong	คณะสาธารณสุขศาสตร์	10	12
สุพจน์ 	Supoj 	ชววิวรรธน์	Chawawiwat	คณะพาณิชยศาสตร์และการบัญชี	4	0
กอบแก้ว 	Kobkaew 	รัตนอุบล	Ratanaubol	คณะพาณิชยศาสตร์และการบัญชี	5	1
วรรณี 	Wannee 	เตโชโยธิน	Taechoyotin	คณะพาณิชยศาสตร์และการบัญชี	6	4
ปราการ 	Prakarn 	อาภาศิลป์	Arphasil	คณะเศรษฐศาสตร์	0	0
สุชารัช 	Sucharat 	ริมกีรติกุล	Rimkeeratikul	สถาบันภาษา	3	0
ศิริเพ็ญ 	Siripen 	สุทธาโรจน์	Sutharoj	สถาบันภาษา	0	0
สมจิต 	Somchit 	ดำริห์อนันต์	Damrianant	ภาควิชาเทคโนโลยีชีวภาพ คณะวิทยาศาสตร์และเทคโนโลยี	0	0
นิตยา 	Nitaya 	วัจนะภูมิ	Vajanapoom	คณะสาธารณสุขศาสตร์	5	2
นภดล 	Nophadol 	ชาติประเสริฐ	Chartprasert	คณะศิลปศาสตร์	4	0
ทัศนีย์ 	Tasanee 	เมธาพิสิฐ	Methapisit	คณะศิลปศาสตร์	8	5
วีรวรรณ 	Weerawan 	วชิรดิลก	Washiradilok	คณะศิลปศาสตร์	2	0
ชูศักดิ์ 	Chusak 	ภัทรกุลวณิชย์	Pattarakulvanit	คณะศิลปศาสตร์	9	4
วีรวัฒน์ 	Viravat 	จันทโชติ	Chantachote	คณะนิติศาสตร์	2	0
